col,qt_missing,qt_diversity,qt_max_row_class,pr_missing,pr_diversity,pr_max_row_class
id,0,193005,1,0.0,1.0,5.181212921945027e-06
order_number,0,193005,1,0.0,1.0,5.181212921945027e-06
company_id,0,2,192997,0.0,1.0362425843890055e-05,0.9999585502966244
area_id,0,13,47355,0.0,6.735576798528536e-05,0.24535633791870676
first_loc_id,5035,126,21869,0.026087407061993213,0.0006528328281650734,0.1133079453900158
second_loc_id,5048,620,12945,0.026154762829978497,0.003212352011605917,0.06707080127457837
asset_id,4999,10018,6117,0.02590088339680319,0.05190539105204529,0.03169347944353773
asset_part_id,179900,3320,239,0.9321002046579104,0.01720162690085749,0.0012383098883448616
asset_part_child_id,190561,981,89,0.9873371156187664,0.005082769876428072,0.00046112795005310745
asset_group_id,4999,1270,17266,0.02590088339680319,0.006580140410870185,0.08945882231030285
cost_center_id,5016,244,13198,0.025988964016476258,0.0012642159529545867,0.06838164814383046
maint_req_id,132767,55533,356,0.6878940960078754,0.2877282971943732,0.0018445118002124298
maint_service_type_id,0,16,64366,0.0,8.289940675112044e-05,0.33349395093391365
maint_service_nature_id,105211,23,38537,0.5451205927307583,0.00011916789720473563,0.19966840237299552
employee_team_id,104112,89,18289,0.5394264397295407,0.00046112795005310745,0.0947592031294526
employee_id,100857,358,3956,0.5225615916686096,0.0018548742260563198,0.02049687831921453
description,0,110085,1398,0.0,0.5703738245123183,0.007243335664879148
maint_failure_id,192460,80,74,0.9971762389575399,0.0004144970337556022,0.00038340975622393203
maint_cause_id,192631,75,73,0.9980622263671926,0.00038859096914587707,0.000378228543301987
maint_action_id,192699,52,72,0.9984145488458849,0.00026942307194114144,0.00037304733038004195
maint_order_status_id,0,14,151502,0.0,7.253698090723039e-05,0.7849641201005155
priority,0,5,141982,0.0,2.5906064609725138e-05,0.7356389730835988
cancel_reason,180549,2046,750,0.9354628118442527,0.010600761638299526,0.0038859096914587703
cancel_user_id,171120,123,2700,0.886609155203233,0.0006372891893992383,0.013989274889251575
created_at,0,166891,4107,0.0,0.8646978057563276,0.02127924147042823
updated_at,0,98482,52798,0.0,0.5102562109789902,0.27355767985285356
is_sistematic,0,2,128571,0.0,1.0362425843890055e-05,0.6661537265873941
maint_started_at,39067,118423,22,0.20241444522162638,0.613574777855496,0.0001139866842827906
maint_finished_at,39865,114545,17,0.20654905313333852,0.5934820341441932,8.808061967306546e-05
closed_at,41646,102508,25,0.2157767933473226,0.5311157742027408,0.00012953032304862568
opened_at,0,178255,133,0.0,0.9235771094013109,0.0006891013186186886
downtime_started_at,190431,2459,7,0.9866635579389135,0.012740602575062822,3.626849045361519e-05
downtime_finished_at,191219,1755,3,0.9907463537214062,0.009093028678013523,1.5543638765835083e-05
cancelled_at,170977,12580,90,0.8858682417553949,0.06517965855806844,0.00046630916297505244
origin_doc,186917,2036,2899,0.9684567757311987,0.010548949509080075,0.015020336260718635
scheduled_to,0,14724,1729,0.0,0.07628817906271858,0.008958317142042952
est_finish_at,1016,16658,1748,0.005264112328696148,0.08630864485376026,0.009056760187559907
prog_year_week_number,178409,129,307,0.9243750161912904,0.0006683764669309085,0.0015906323670371234
is_executed,0,2,163392,0.0,1.0362425843890055e-05,0.8465687417424419
logged_user_id,30328,244,15969,0.1571358254967488,0.0012642159529545867,0.08273878915054014
maint_order_cancel_reason_id,171738,18,10387,0.8898111447889951,9.326183259501049e-05,0.053817258620242996
maint_plan_id,128573,3621,1398,0.666164089013238,0.018761171990362945,0.007243335664879148
is_failure_analysis,0,2,184090,0.0,1.0362425843890055e-05,0.9538094868008601
is_perform_failure_analysis,0,2,192964,0.0,1.0362425843890055e-05,0.9997875702702003
maint_possible_cause_id,192730,276,1,0.9985751664464652,0.0014300147664568275,5.181212921945027e-06
result_failure_analysis,192746,260,1,0.9986580658532163,0.0013471153597057071,5.181212921945027e-06
total_cost,0,35456,84291,0.0,0.18370508536048288,0.4367296184036683
maint_failure_description,188332,4056,58,0.9757881920157508,0.02101499961140903,0.00030051034947281156
warranty_failure_analysis,192961,38,3,0.9997720266314344,0.00019688609103391103,1.5543638765835083e-05
plan_type_id,160603,13,28376,0.8321183389031372,6.735576798528536e-05,0.1470220978731121
est_finish_at_origin,38289,10814,607,0.19838346156835315,0.05602963653791353,0.0031449962436206316
scheduled_to_origin,7790,11253,2084,0.040361648661951764,0.05830418901064739,0.010797647729333436
operator_team_id,188913,49,1178,0.9787984767234009,0.0002538794331753063,0.006103468822051242
operator_id,192998,6,3,0.9999637315095464,3.108727753167017e-05,1.5543638765835083e-05
component_id,190957,1301,27,0.9893888759358566,0.006740758011450481,0.00013989274889251573
third_loc_id,6550,2612,6169,0.033936944638739926,0.01353332815212041,0.031962902515478876
cause_feature_id,192725,4,140,0.9985492603818554,2.072485168778011e-05,0.0007253698090723039
cause_structure_action_id,192984,10,7,0.9998911945286392,5.1812129219450276e-05,3.626849045361519e-05
pillar_id,192967,5,16,0.999803113908966,2.5906064609725138e-05,8.289940675112044e-05
cause_countermeasure_id,192731,22,43,0.9985803476593871,0.0001139866842827906,0.00022279215564363617
cause_type_id,192725,12,79,0.9985492603818554,6.217455506334033e-05,0.00040931582083365717
functional_failure,192705,289,4,0.9984456361234165,0.001497370534442113,2.072485168778011e-05
damage_type_id,189719,3,2215,0.9829745343384887,1.5543638765835083e-05,0.011476386622108236
breakdown_typology_id,192722,8,155,0.9985337167430895,4.144970337556022e-05,0.0008030880029014793
cilr,181445,3,11553,0.9401051786223155,1.5543638765835083e-05,0.0598585528872309
pm,181445,3,11361,0.9401051786223155,1.5543638765835083e-05,0.05886376000621746
has_tag,181445,3,11511,0.9401051786223155,1.5543638765835083e-05,0.05964094194450921
tag_number,192924,76,3,0.9995803217533225,0.00039377218206782205,1.5543638765835083e-05
severity_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
probability_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
detection_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
rpn,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
what,192722,274,4,0.9985337167430895,0.0014196523406129376,2.072485168778011e-05
when,192722,180,56,0.9985337167430895,0.0009326183259501049,0.00029014792362892154
who,192722,106,104,0.9985337167430895,0.0005492085697261728,0.0005388461438822829
why,192705,185,95,0.9984456361234165,0.00095852439055983,0.0004922152275847776
how,192722,283,2,0.9985337167430895,0.0014662832569104427,1.0362425843890055e-05
maint_order_on_hold_reason_id,192912,14,27,0.9995181471982592,7.253698090723039e-05,0.00013989274889251573
performed_worktime,0,22660,39959,0.0,0.11740628481127433,0.20703608714800134
estimated_worktime,0,2558,107711,0.0,0.01325354265433538,0.5580736250356209
is_security_item,0,2,191699,0.0,1.0362425843890055e-05,0.9932333359239398
attached_at,192930,36,18,0.9996114090308541,0.00018652366519002097,9.326183259501049e-05
performed_asset_downtime,0,948,186488,0.0,0.004911789850003886,0.9662340353876843
is_scheduled,0,2,178857,0.0,1.0362425843890055e-05,0.9266961995803218
has_resupply_general_req,0,2,192929,0.0,1.0362425843890055e-05,0.9996062278179322
is_vehicle,0,1,193005,0.0,5.181212921945027e-06,1.0
maint_order_activities_type,0,2,125740,0.0,1.0362425843890055e-05,0.6514857128053677
tag_id,192971,33,2,0.9998238387606538,0.0001709800264241859,1.0362425843890055e-05
executed_service_historic,77872,97772,1211,0.40347141265770314,0.5065775498044092,0.006274448848475428
executed_service_failure_analysis,136803,39916,1211,0.7088054713608456,0.2068132949923577,0.006274448848475428
identity_hash,99818,92777,5,0.5171783114427088,0.4806973912592938,2.5906064609725138e-05
record_origin,134074,3,58928,0.6946659412968575,1.5543638765835083e-05,0.30531851506437657
is_approved,0,2,192933,0.0,1.0362425843890055e-05,0.99962695266962
user_text,30328,233,15969,0.1571358254967488,0.0012072226108131915,0.08273878915054014
id_mobile,192999,7,1,0.9999689127224684,3.626849045361519e-05,5.181212921945027e-06
mobile_uuid,192999,4,3,0.9999689127224684,2.072485168778011e-05,1.5543638765835083e-05
need_asset_stop,0,2,174325,0.0,1.0362425843890055e-05,0.9032149426180669
additional_cost_center_ids,128591,260,8826,0.666257350845833,0.0013471153597057071,0.04572938524908681
needs_rescheduling,188930,3,2591,0.9788865573430741,1.5543638765835083e-05,0.013424522680759566
maint_req_priority,162745,41,15864,0.8432164969819435,0.00021242972979974612,0.08219476179373592
priority_calculated,0,62,134232,0.0,0.0003212352011605917,0.695484572938525
failure_analysis_at,184088,2825,327,0.9537991243750162,0.014636926504494703,0.001694256625476024
rework_cost,0,1,193005,0.0,5.181212921945027e-06,1.0
