col,typevalue,usenull,p_null,p_unique,p_max_row_class
id,1.0,1.0,0.0,1.0,5.181212921945027e-06
order_number,4.0,1.0,0.0,1.0,5.181212921945027e-06
company_id,1.0,1.0,0.0,1.0362425843890055e-05,0.9999585502966244
area_id,1.0,1.0,0.0,6.735576798528536e-05,0.24535633791870676
first_loc_id,1.0,1.0,0.026087407061993213,0.0006528328281650734,0.1133079453900158
second_loc_id,1.0,1.0,0.026154762829978497,0.003212352011605917,0.06707080127457837
asset_id,1.0,1.0,0.02590088339680319,0.05190539105204529,0.03169347944353773
asset_part_id,1.0,1.0,0.9321002046579104,0.01720162690085749,0.0012383098883448616
asset_part_child_id,1.0,1.0,0.9873371156187664,0.005082769876428072,0.00046112795005310745
asset_group_id,1.0,1.0,0.02590088339680319,0.006580140410870185,0.08945882231030285
cost_center_id,1.0,1.0,0.025988964016476258,0.0012642159529545867,0.06838164814383046
maint_req_id,1.0,1.0,0.6878940960078754,0.2877282971943732,0.0018445118002124298
maint_service_type_id,1.0,1.0,0.0,8.289940675112044e-05,0.33349395093391365
maint_service_nature_id,1.0,1.0,0.5451205927307583,0.00011916789720473563,0.19966840237299552
employee_team_id,1.0,1.0,0.5394264397295407,0.00046112795005310745,0.0947592031294526
employee_id,1.0,1.0,0.5225615916686096,0.0018548742260563198,0.02049687831921453
description,4.0,1.0,0.0,0.5703738245123183,0.007243335664879148
maint_failure_id,1.0,1.0,0.9971762389575399,0.0004144970337556022,0.00038340975622393203
maint_cause_id,1.0,1.0,0.9980622263671926,0.00038859096914587707,0.000378228543301987
maint_action_id,1.0,1.0,0.9984145488458849,0.00026942307194114144,0.00037304733038004195
maint_order_status_id,1.0,1.0,0.0,7.253698090723039e-05,0.7849641201005155
priority,1.0,1.0,0.0,2.5906064609725138e-05,0.7356389730835988
cancel_reason,4.0,1.0,0.9354628118442527,0.010600761638299526,0.0038859096914587703
cancel_user_id,1.0,1.0,0.886609155203233,0.0006372891893992383,0.013989274889251575
created_at,5.0,1.0,0.0,0.8646978057563276,0.02127924147042823
is_sistematic,2.0,1.0,0.0,1.0362425843890055e-05,0.6661537265873941
maint_started_at,5.0,1.0,0.20241444522162638,0.613574777855496,0.0001139866842827906
maint_finished_at,5.0,1.0,0.20654905313333852,0.5934820341441932,8.808061967306546e-05
closed_at,5.0,1.0,0.2157767933473226,0.5311157742027408,0.00012953032304862568
opened_at,5.0,1.0,0.0,0.9235771094013109,0.0006891013186186886
downtime_started_at,5.0,1.0,0.9866635579389135,0.012740602575062822,3.626849045361519e-05
downtime_finished_at,5.0,1.0,0.9907463537214062,0.009093028678013523,1.5543638765835083e-05
cancelled_at,5.0,1.0,0.8858682417553949,0.06517965855806844,0.00046630916297505244
origin_doc,4.0,1.0,0.9684567757311987,0.010548949509080075,0.015020336260718635
scheduled_to,5.0,1.0,0.0,0.07628817906271858,0.008958317142042952
est_finish_at,5.0,1.0,0.005264112328696148,0.08630864485376026,0.009056760187559907
logged_user_id,1.0,1.0,0.1571358254967488,0.0012642159529545867,0.08273878915054014
maint_order_cancel_reason_id,1.0,1.0,0.8898111447889951,9.326183259501049e-05,0.053817258620242996
maint_plan_id,1.0,1.0,0.666164089013238,0.018761171990362945,0.007243335664879148
is_failure_analysis,2.0,1.0,0.0,1.0362425843890055e-05,0.9538094868008601
is_perform_failure_analysis,2.0,1.0,0.0,1.0362425843890055e-05,0.9997875702702003
maint_possible_cause_id,1.0,1.0,0.9985751664464652,0.0014300147664568275,5.181212921945027e-06
result_failure_analysis,4.0,1.0,0.9986580658532163,0.0013471153597057071,5.181212921945027e-06
maint_failure_description,4.0,1.0,0.9757881920157508,0.02101499961140903,0.00030051034947281156
warranty_failure_analysis,5.0,1.0,0.9997720266314344,0.00019688609103391103,1.5543638765835083e-05
operator_team_id,1.0,1.0,0.9787984767234009,0.0002538794331753063,0.006103468822051242
operator_id,1.0,1.0,0.9999637315095464,3.108727753167017e-05,1.5543638765835083e-05
component_id,1.0,1.0,0.9893888759358566,0.006740758011450481,0.00013989274889251573
third_loc_id,1.0,1.0,0.033936944638739926,0.01353332815212041,0.031962902515478876
cause_feature_id,1.0,1.0,0.9985492603818554,2.072485168778011e-05,0.0007253698090723039
cause_structure_action_id,1.0,1.0,0.9998911945286392,5.1812129219450276e-05,3.626849045361519e-05
pillar_id,1.0,1.0,0.999803113908966,2.5906064609725138e-05,8.289940675112044e-05
cause_countermeasure_id,1.0,1.0,0.9985803476593871,0.0001139866842827906,0.00022279215564363617
cause_type_id,1.0,1.0,0.9985492603818554,6.217455506334033e-05,0.00040931582083365717
functional_failure,4.0,1.0,0.9984456361234165,0.001497370534442113,2.072485168778011e-05
damage_type_id,1.0,1.0,0.9829745343384887,1.5543638765835083e-05,0.011476386622108236
breakdown_typology_id,1.0,1.0,0.9985337167430895,4.144970337556022e-05,0.0008030880029014793
tag_number,1.0,1.0,0.9995803217533225,0.00039377218206782205,1.5543638765835083e-05
severity_of_failure_id,1.0,1.0,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
probability_of_failure_id,1.0,1.0,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
detection_of_failure_id,1.0,1.0,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
rpn,3.0,1.0,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
what,4.0,1.0,0.9985337167430895,0.0014196523406129376,2.072485168778011e-05
when,4.0,1.0,0.9985337167430895,0.0009326183259501049,0.00029014792362892154
who,4.0,1.0,0.9985337167430895,0.0005492085697261728,0.0005388461438822829
why,4.0,1.0,0.9984456361234165,0.00095852439055983,0.0004922152275847776
how,4.0,1.0,0.9985337167430895,0.0014662832569104427,1.0362425843890055e-05
maint_order_on_hold_reason_id,1.0,1.0,0.9995181471982592,7.253698090723039e-05,0.00013989274889251573
performed_worktime,3.0,1.0,0.0,0.11740628481127433,0.20703608714800134
estimated_worktime,3.0,1.0,0.0,0.01325354265433538,0.5580736250356209
is_security_item,2.0,1.0,0.0,1.0362425843890055e-05,0.9932333359239398
performed_asset_downtime,3.0,1.0,0.0,0.004911789850003886,0.9662340353876843
is_scheduled,2.0,1.0,0.0,1.0362425843890055e-05,0.9266961995803218
has_resupply_general_req,2.0,1.0,0.0,1.0362425843890055e-05,0.9996062278179322
maint_order_activities_type,1.0,1.0,0.0,1.0362425843890055e-05,0.6514857128053677
tag_id,1.0,1.0,0.9998238387606538,0.0001709800264241859,1.0362425843890055e-05
executed_service_historic,4.0,1.0,0.40347141265770314,0.5065775498044092,0.006274448848475428
executed_service_failure_analysis,4.0,1.0,0.7088054713608456,0.2068132949923577,0.006274448848475428
user_text,4.0,1.0,0.1571358254967488,0.0012072226108131915,0.08273878915054014
need_asset_stop,2.0,1.0,0.0,1.0362425843890055e-05,0.9032149426180669
needs_rescheduling,2.0,1.0,0.9788865573430741,1.5543638765835083e-05,0.013424522680759566
maint_req_priority,1.0,1.0,0.8432164969819435,0.00021242972979974612,0.08219476179373592
priority_calculated,1.0,1.0,0.0,0.0003212352011605917,0.695484572938525
failure_analysis_at,5.0,1.0,0.9537991243750162,0.014636926504494703,0.001694256625476024
