col,typevalue,usenull,p_null,p_unique,p_max_row_class,rank_topsis
third_loc_id,1.0,1.0,0.033936944638739926,0.013533328152120409,0.03196290251547888,0.9796465981776438
second_loc_id,1.0,1.0,0.026154762829978497,0.003212352011605917,0.06707080127457837,0.9662681366376283
cost_center_id,1.0,1.0,0.025988964016476258,0.0012642159529545867,0.06838164814383046,0.9657462297415964
asset_id,1.0,1.0,0.02590088339680319,0.05190539105204529,0.03169347944353773,0.9598368990950255
asset_group_id,1.0,1.0,0.02590088339680319,0.006580140410870185,0.08945882231030285,0.9554250309434654
logged_user_id,1.0,1.0,0.1571358254967488,0.0012642159529545867,0.08273878915054014,0.9445851605511195
first_loc_id,1.0,1.0,0.026087407061993213,0.0006528328281650733,0.1133079453900158,0.9445387429970635
area_id,1.0,1.0,0.0,6.735576798528536e-05,0.2453563379187068,0.8850829853398764
employee_id,1.0,1.0,0.5225615916686096,0.00185487422605632,0.020496878319214533,0.8814595395333602
employee_team_id,1.0,1.0,0.5394264397295407,0.0004611279500531074,0.0947592031294526,0.8699206906820343
maint_plan_id,1.0,1.0,0.6661640890132379,0.018761171990362945,0.007243335664879148,0.8524547563878747
maint_service_type_id,1.0,1.0,0.0,8.289940675112044e-05,0.33349395093391365,0.8477021152969396
maint_service_nature_id,1.0,1.0,0.5451205927307583,0.00011916789720473564,0.19966840237299552,0.8464086122116292
maint_req_priority,1.0,1.0,0.8432164969819435,0.00021242972979974606,0.08219476179373593,0.8161252241096163
cancel_user_id,1.0,1.0,0.8866091552032329,0.0006372891893992382,0.013989274889251576,0.8138988795238898
maint_order_cancel_reason_id,1.0,1.0,0.8898111447889951,9.326183259501049e-05,0.053817258620243,0.8107597034371788
asset_part_id,1.0,1.0,0.9321002046579104,0.01720162690085749,0.0012383098883448616,0.8051786073518074
operator_team_id,1.0,1.0,0.9787984767234008,0.0002538794331753063,0.006103468822051242,0.7988195961225882
damage_type_id,1.0,1.0,0.9829745343384888,1.5543638765835087e-05,0.011476386622108236,0.7978927103548843
asset_part_child_id,1.0,1.0,0.9873371156187664,0.005082769876428072,0.0004611279500531074,0.7972433261617389
component_id,1.0,1.0,0.9893888759358566,0.0067407580114504815,0.00013989274889251573,0.7967662027093162
maint_failure_id,1.0,1.0,0.99717623895754,0.0004144970337556022,0.000383409756223932,0.7960571372366143
maint_cause_id,1.0,1.0,0.9980622263671926,0.00038859096914587707,0.000378228543301987,0.7959153608639237
maint_action_id,1.0,1.0,0.9984145488458848,0.00026942307194114144,0.000373047330380042,0.7958685464438247
cause_type_id,1.0,1.0,0.9985492603818554,6.217455506334033e-05,0.00040931582083365717,0.7958629199701484
cause_countermeasure_id,1.0,1.0,0.9985803476593872,0.0001139866842827906,0.0002227921556436362,0.795861508392292
cause_feature_id,1.0,1.0,0.9985492603818554,2.072485168778011e-05,0.000725369809072304,0.7958526966710929
breakdown_typology_id,1.0,1.0,0.9985337167430895,4.144970337556022e-05,0.0008030880029014793,0.795850040688057
maint_possible_cause_id,1.0,1.0,0.9985751664464652,0.0014300147664568275,5.181212921945027e-06,0.7957572433521636
maint_order_on_hold_reason_id,1.0,1.0,0.9995181471982592,7.25369809072304e-05,0.00013989274889251573,0.7957161225261371
tag_number,1.0,1.0,0.9995803217533225,0.00039377218206782205,1.5543638765835087e-05,0.7956836579336627
pillar_id,1.0,1.0,0.9998031139089659,2.5906064609725135e-05,8.289940675112044e-05,0.795676268685582
tag_id,1.0,1.0,0.9998238387606538,0.0001709800264241859,1.0362425843890056e-05,0.7956635369966846
cause_structure_action_id,1.0,1.0,0.9998911945286392,5.181212921945028e-05,3.626849045361519e-05,0.7956617362773316
operator_id,1.0,1.0,0.9999637315095464,3.1087277531670174e-05,1.5543638765835087e-05,0.7956526246422105
severity_of_failure_id,1.0,1.0,0.999994818787078,1.0362425843890056e-05,5.181212921945027e-06,0.7956498032953887
probability_of_failure_id,1.0,1.0,0.999994818787078,1.0362425843890056e-05,5.181212921945027e-06,0.7956498032953887
detection_of_failure_id,1.0,1.0,0.999994818787078,1.0362425843890056e-05,5.181212921945027e-06,0.7956498032953887
needs_rescheduling,2.0,1.0,0.978886557343074,1.5543638765835087e-05,0.013424522680759566,0.775165222356167
performed_worktime,3.0,1.0,0.0,0.11740628481127433,0.2070360871480013,0.7596621271689665
maint_req_id,1.0,1.0,0.6878940960078754,0.2877282971943732,0.0018445118002124296,0.7590307239410745
maint_order_activities_type,1.0,1.0,0.0,1.0362425843890056e-05,0.6514857128053677,0.7306501579015179
rpn,3.0,1.0,0.999994818787078,1.0362425843890056e-05,5.181212921945027e-06,0.7290195315290043
user_text,4.0,1.0,0.1571358254967488,0.0012072226108131915,0.08273878915054014,0.7237399873104001
priority_calculated,1.0,1.0,0.0,0.0003212352011605917,0.6954845729385251,0.7166184370308016
priority,1.0,1.0,0.0,2.5906064609725135e-05,0.7356389730835988,0.7043510014884208
is_sistematic,2.0,1.0,0.0,1.0362425843890056e-05,0.6661537265873941,0.7038736075606263
estimated_worktime,3.0,1.0,0.0,0.01325354265433538,0.5580736250356209,0.6931940477778806
maint_order_status_id,1.0,1.0,0.0,7.25369809072304e-05,0.7849641201005155,0.6898270638166489
cancel_reason,4.0,1.0,0.9354628118442528,0.010600761638299526,0.0038859096914587695,0.6822172917269764
who,4.0,1.0,0.9985337167430895,0.0005492085697261728,0.0005388461438822829,0.6789428898054629
when,4.0,1.0,0.9985337167430895,0.0009326183259501047,0.0002901479236289216,0.6789058625785589
why,4.0,1.0,0.9984456361234164,0.0009585243905598301,0.0004922152275847777,0.6788945993731841
result_failure_analysis,4.0,1.0,0.9986580658532164,0.0013471153597057071,5.181212921945027e-06,0.6788569864690802
what,4.0,1.0,0.9985337167430895,0.0014196523406129376,2.072485168778011e-05,0.678855334341331
functional_failure,4.0,1.0,0.9984456361234164,0.001497370534442113,2.072485168778011e-05,0.6788511675610955
how,4.0,1.0,0.9985337167430895,0.0014662832569104429,1.0362425843890056e-05,0.6788493774473764
origin_doc,4.0,1.0,0.9684567757311988,0.010548949509080077,0.015020336260718638,0.6787775821897094
maint_failure_description,4.0,1.0,0.9757881920157508,0.02101499961140903,0.0003005103494728116,0.6776919014678474
scheduled_to,5.0,1.0,0.0,0.07628817906271858,0.008958317142042952,0.6597547313261721
est_finish_at,5.0,1.0,0.005264112328696148,0.08630864485376026,0.009056760187559907,0.6577631243142185
executed_service_failure_analysis,4.0,1.0,0.7088054713608456,0.2068132949923577,0.006274448848475428,0.6548927969030944
need_asset_stop,2.0,1.0,0.0,1.0362425843890056e-05,0.9032149426180668,0.6376959988265536
company_id,1.0,1.0,0.0,1.0362425843890056e-05,0.9999585502966244,0.6340505523124249
failure_analysis_at,5.0,1.0,0.9537991243750162,0.014636926504494703,0.001694256625476024,0.6320238564155286
is_scheduled,2.0,1.0,0.0,1.0362425843890056e-05,0.9266961995803218,0.6318951509975724
warranty_failure_analysis,5.0,1.0,0.9997720266314344,0.00019688609103391103,1.5543638765835087e-05,0.6318471164466435
downtime_finished_at,5.0,1.0,0.9907463537214062,0.009093028678013523,1.5543638765835087e-05,0.6309611551518249
downtime_started_at,5.0,1.0,0.9866635579389136,0.012740602575062822,3.626849045361519e-05,0.630605732599456
cancelled_at,5.0,1.0,0.8858682417553949,0.06517965855806844,0.00046630916297505244,0.627019920192919
is_failure_analysis,2.0,1.0,0.0,1.0362425843890056e-05,0.95380948680086,0.6253674808787384
is_security_item,2.0,1.0,0.0,1.0362425843890056e-05,0.9932333359239398,0.6162002740438832
has_resupply_general_req,2.0,1.0,0.0,1.0362425843890056e-05,0.9996062278179322,0.6147542741836881
is_perform_failure_analysis,2.0,1.0,0.0,1.0362425843890056e-05,0.9997875702702004,0.6147132733878126
performed_asset_downtime,3.0,1.0,0.0,0.004911789850003886,0.9662340353876844,0.5939941163987834
executed_service_historic,4.0,1.0,0.4034714126577032,0.5065775498044092,0.006274448848475428,0.5613424813906037
description,4.0,1.0,0.0,0.5703738245123183,0.007243335664879148,0.5528737497805466
closed_at,5.0,1.0,0.2157767933473226,0.5311157742027408,0.00012953032304862568,0.5214120213472644
id,1.0,1.0,0.0,1.0,5.181212921945027e-06,0.5016495841130713
maint_finished_at,5.0,1.0,0.20654905313333846,0.5934820341441932,8.808061967306545e-05,0.5005923377191999
maint_started_at,5.0,1.0,0.2024144452216264,0.613574777855496,0.0001139866842827906,0.49405221528655774
created_at,5.0,1.0,0.0,0.8646978057563276,0.021279241470428232,0.42608343241956925
order_number,4.0,1.0,0.0,1.0,5.181212921945027e-06,0.4225784787229277
opened_at,5.0,1.0,0.0,0.9235771094013108,0.0006891013186186886,0.4168328340861372
